Location,Level
112,1
221,1
234,1
253,1
260,1
267,1
270,1
289,1
306,1
311,1
382,1
386,1
459,1
492,1
690,1
736,1
745,1
748,1
762,1
804,1
876,1
891,1
933,1
1,2
27,2
161,2
257,2
258,2
360,2
376,2
381,2
395,2
564,2
692,2
703,2
730,2
830,2
7,3
361,3
424,3
775,3
952,3
938,4
